Date : 2020-02-10 21:49:33
Directory : c:\Users\gmont\Documents\seknd
Total : 184 files,  21006 codes, 744 comments, 671 blanks, all 22421 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          4 |     15,996 |          0 |          4 |     16,000 |
| JavaScript       |         93 |      2,510 |        424 |        326 |      3,260 |
| CSS              |         29 |      1,010 |         24 |        101 |      1,135 |
| SCSS             |         28 |        858 |        272 |        104 |      1,234 |
| JavaScript React |         24 |        562 |          0 |        100 |        662 |
| Markdown         |          1 |         37 |          0 |         32 |         69 |
| HTML             |          1 |         21 |         23 |          1 |         45 |
| XML              |          4 |         12 |          1 |          3 |         16 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        184 |     21,006 |        744 |        671 |     22,421 |
| config                                                                                                       |          8 |        761 |        354 |         89 |      1,204 |
| config\jest                                                                                                  |          2 |         40 |          7 |          9 |         56 |
| public                                                                                                       |          3 |         62 |         23 |          5 |         90 |
| scripts                                                                                                      |          3 |        318 |         49 |         47 |        414 |
| src                                                                                                          |        167 |      3,901 |        318 |        496 |      4,715 |
| src\API Calls                                                                                                |          5 |        247 |          0 |         13 |        260 |
| src\assets                                                                                                   |          6 |         12 |          1 |          6 |         19 |
| src\components                                                                                               |        137 |      3,266 |        314 |        420 |      4,000 |
| src\components\About                                                                                         |          4 |         27 |          1 |          5 |         33 |
| src\components\Contact                                                                                       |          4 |         27 |          1 |          5 |         33 |
| src\components\Date-Parts                                                                                    |          5 |        165 |          1 |         18 |        184 |
| src\components\Date-Parts-Piece                                                                              |          7 |        178 |          1 |         18 |        197 |
| src\components\Date-Parts-Piece\Logic                                                                        |          3 |         49 |          0 |          8 |         57 |
| src\components\Date-Parts\Logic                                                                              |          1 |          0 |          0 |          1 |          1 |
| src\components\EventsSearch                                                                                  |          6 |        134 |          1 |         16 |        151 |
| src\components\EventsSearch\Logic                                                                            |          2 |         41 |          0 |          3 |         44 |
| src\components\Footer                                                                                        |          4 |         52 |          1 |          8 |         61 |
| src\components\Header                                                                                        |          4 |        166 |          1 |         19 |        186 |
| src\components\Home                                                                                          |          4 |        162 |          1 |         21 |        184 |
| src\components\Nav                                                                                           |          4 |        125 |          1 |         15 |        141 |
| src\components\PlacesSearch                                                                                  |          4 |         86 |          1 |         10 |         97 |
| src\components\Scheduler                                                                                     |          4 |         34 |          1 |          6 |         41 |
| src\components\Scheduler-Grid                                                                                |          4 |         34 |          1 |          5 |         40 |
| src\components\Scheduler-Grid-Square                                                                         |          4 |          1 |          0 |          3 |          4 |
| src\components\Scheduler-Hours                                                                               |          4 |          1 |          0 |          3 |          4 |
| src\components\Scheduler-List                                                                                |          4 |         78 |          1 |          9 |         88 |
| src\components\Scheduler-NewInput                                                                            |          4 |          1 |          0 |          3 |          4 |
| src\components\Scheduler-Piece                                                                               |          4 |          1 |          0 |          3 |          4 |
| src\components\Search                                                                                        |          4 |         37 |          1 |          6 |         44 |
| src\components\Search-Box                                                                                    |         20 |      1,173 |        276 |        134 |      1,583 |
